Rank,Title Length,Age (hours),Points,Number of Comments
1,,5.0,378,181
2,,3.0,110,64
3,,0.75,14,17
4,,5.0,186,59
5,,5.0,141,44
6,,5.0,121,39
7,,2.0,28,12
8,,5.0,56,23
9,,3.0,59,40
10,,13.0,304,683
11,,2.0,0,0
12,,2.0,26,2
13,,3.0,35,22
14,,4.0,29,7
15,,5.0,61,24
16,,2.0,20,5
17,,1.0,14,9
18,,5.0,172,118
19,,2.0,13,6
20,,6.0,53,19
21,,1.0,187,111
22,,6.0,66,17
23,,8.0,54,18
24,,2.0,56,45
25,,5.0,379,111
26,,9.0,95,27
27,,6.0,44,21
28,,7.0,53,26
29,,16.0,168,113
30,,9.0,65,9
31,,10.0,56,1
32,,5.0,89,45
33,,19.0,258,33
34,,6.0,68,8
35,,1.0,15,0
36,,10.0,46,21
37,,12.0,57,6
38,,11.0,48,5
39,,12.0,86,55
40,,21.0,172,30
41,,2.0,10,1
42,,9.0,25,4
43,,3.0,31,11
44,,5.0,145,91
45,,13.0,51,21
46,,14.0,82,49
47,,0.7833333333333333,4,0
48,,2.0,8,23
49,,14.0,33,7
50,,24.0,691,580
51,,3.0,12,2
52,,13.0,30,3
53,,0.9166666666666666,3,0
54,,5.0,36,18
55,,9.0,116,82
56,,5.0,40,12
57,,9.0,548,527
58,,6.0,17,9
59,,14.0,35,6
60,,48.0,241,252
61,,2.0,9,2
62,,18.0,61,24
63,,7.0,42,110
64,,4.0,19,10
65,,13.0,31,5
66,,5.0,4,0
67,,12.0,72,17
68,,6.0,20,2
69,,5.0,76,34
70,,6.0,17,11
71,,4.0,73,68
72,,5.0,40,5
73,,17.0,110,16
74,,24.0,82,30
75,,24.0,66,5
76,,9.0,20,7
77,,24.0,54,12
78,,24.0,222,57
79,,24.0,522,86
80,,7.0,17,5
81,,21.0,37,5
82,,23.0,38,53
83,,21.0,30,59
84,,11.0,14,0
85,,8.0,11,0
86,,24.0,175,43
87,,24.0,56,19
88,,20.0,46,12
89,,2.0,4,2
90,,24.0,323,73
91,,6.0,37,11
92,,24.0,74,11
93,,24.0,914,696
94,,4.0,10,2
95,,24.0,274,217
96,,24.0,50,1
97,,4.0,4,0
98,,6.0,10,0
99,,24.0,276,122
100,,5.0,8,14
101,,24.0,83,3
102,,24.0,70,29
103,,3.0,27,16
104,,24.0,274,89
105,,24.0,109,78
106,,24.0,252,39
107,,24.0,76,38
108,,3.0,6,1
109,,24.0,54,24
110,,9.0,29,3
111,,24.0,297,124
112,,24.0,71,21
113,,24.0,162,176
114,,48.0,454,73
115,,48.0,194,35
116,,72.0,1584,545
117,,14.0,366,253
118,,4.0,4,1
119,,48.0,512,131
120,,48.0,696,355
121,,24.0,133,35
122,,24.0,94,133
123,,24.0,186,68
124,,20.0,482,153
125,,7.0,6,0
126,,8.0,8,1
127,,48.0,136,97
128,,48.0,114,37
129,,48.0,145,46
130,,4.0,4,0
131,,24.0,493,195
132,,24.0,1138,143
133,,24.0,62,11
134,,48.0,275,435
135,,48.0,179,295
136,,48.0,160,173
137,,1.0,3,1
138,,48.0,285,119
139,,48.0,348,75
140,,24.0,43,23
141,,48.0,144,78
142,,24.0,260,40
143,,6.0,125,89
144,,48.0,410,137
145,,48.0,127,49
146,,2.0,8,0
147,,7.0,7,2
148,,48.0,431,177
149,,6.0,23,5
150,,48.0,64,21
