structureName,dimension,k,n,time
bucketKNN,1,2,100,41114
bucketKNN,1,4,100,81137
bucketKNN,1,8,100,120406
bucketKNN,1,10,100,159772
bucketKNN,1,16,100,198989
bucketKNN,1,2,1000,137898
bucketKNN,1,4,1000,275867
bucketKNN,1,8,1000,413753
bucketKNN,1,10,1000,551966
bucketKNN,1,16,1000,706337
bucketKNN,1,2,10000,186595
bucketKNN,1,4,10000,373968
bucketKNN,1,8,10000,559123
bucketKNN,1,10,10000,744431
bucketKNN,1,16,10000,929784
bucketKNN,1,2,100000,204741
bucketKNN,1,4,100000,409123
bucketKNN,1,8,100000,613273
bucketKNN,1,10,100000,817594
bucketKNN,1,16,100000,1021936
bucketKNN,2,2,100,50751
bucketKNN,2,4,100,101679
bucketKNN,2,8,100,152666
bucketKNN,2,10,100,203348
bucketKNN,2,16,100,254184
bucketKNN,2,2,1000,336268
bucketKNN,2,4,1000,672544
bucketKNN,2,8,1000,1008542
bucketKNN,2,10,1000,1344675
bucketKNN,2,16,1000,1686139
bucketKNN,2,2,10000,716087
bucketKNN,2,4,10000,1421102
bucketKNN,2,8,10000,2126423
bucketKNN,2,10,10000,2875735
bucketKNN,2,16,10000,3581771
bucketKNN,2,2,100000,660662
bucketKNN,2,4,100000,1325754
bucketKNN,2,8,100000,1989078
bucketKNN,2,10,100000,2652628
bucketKNN,2,16,100000,3316045
bucketKNN,3,2,100,44787
bucketKNN,3,4,100,89269
bucketKNN,3,8,100,134259
bucketKNN,3,10,100,178862
bucketKNN,3,16,100,223471
bucketKNN,3,2,1000,496664
bucketKNN,3,4,1000,992734
bucketKNN,3,8,1000,1489092
bucketKNN,3,10,1000,1985257
bucketKNN,3,16,1000,2480947
bucketKNN,3,2,10000,2103412
bucketKNN,3,4,10000,4207440
bucketKNN,3,8,10000,6313753
bucketKNN,3,10,10000,8439735
bucketKNN,3,16,10000,10597482
bucketKNN,3,2,100000,2880961
bucketKNN,3,4,100000,5784806
bucketKNN,3,8,100000,9327893
bucketKNN,3,10,100000,12374290
bucketKNN,3,16,100000,15399478
bucketKNN,4,2,100,45626
bucketKNN,4,4,100,91241
bucketKNN,4,8,100,136755
bucketKNN,4,10,100,182242
bucketKNN,4,16,100,228683
bucketKNN,4,2,1000,586225
bucketKNN,4,4,1000,1293803
bucketKNN,4,8,1000,1879219
bucketKNN,4,10,1000,2482972
bucketKNN,4,16,1000,3074318
bucketKNN,4,2,10000,3926852
bucketKNN,4,4,10000,7888045
bucketKNN,4,8,10000,11983380
bucketKNN,4,10,10000,15926231
bucketKNN,4,16,10000,19814072
bucketKNN,4,2,100000,10623378
bucketKNN,4,4,100000,21292030
bucketKNN,4,8,100000,31862378
bucketKNN,4,10,100000,42458737
bucketKNN,4,16,100000,53050271
bucketKNN,5,2,100,48822
bucketKNN,5,4,100,97448
bucketKNN,5,8,100,146130
bucketKNN,5,10,100,195402
bucketKNN,5,16,100,244262
bucketKNN,5,2,1000,636847
bucketKNN,5,4,1000,1274172
bucketKNN,5,8,1000,1911490
bucketKNN,5,10,1000,2551261
bucketKNN,5,16,1000,3190697
bucketKNN,5,2,10000,6624285
bucketKNN,5,4,10000,13230954
bucketKNN,5,8,10000,19903309
bucketKNN,5,10,10000,26624158
bucketKNN,5,16,10000,33264590
bucketKNN,5,2,100000,27257243
bucketKNN,5,4,100000,54438508
bucketKNN,5,8,100000,81689270
bucketKNN,5,10,100000,108901450
bucketKNN,5,16,100000,136228935
bucketKNN,6,2,100,51374
bucketKNN,6,4,100,102659
bucketKNN,6,8,100,153841
bucketKNN,6,10,100,205056
bucketKNN,6,16,100,256169
bucketKNN,6,2,1000,664774
bucketKNN,6,4,1000,1330503
bucketKNN,6,8,1000,2011280
bucketKNN,6,10,1000,2679099
bucketKNN,6,16,1000,3429104
bucketKNN,6,2,10000,6179386
bucketKNN,6,4,10000,12490301
bucketKNN,6,8,10000,19042641
bucketKNN,6,10,10000,25220065
bucketKNN,6,16,10000,31716413
bucketKNN,6,2,100000,44416185
bucketKNN,6,4,100000,88350194
bucketKNN,6,8,100000,132768417
bucketKNN,6,10,100000,177591718
bucketKNN,6,16,100000,222229406
bucketKNN,7,2,100,50839
bucketKNN,7,4,100,101595
bucketKNN,7,8,100,152212
bucketKNN,7,10,100,202861
bucketKNN,7,16,100,253459
bucketKNN,7,2,1000,716166
bucketKNN,7,4,1000,1417762
bucketKNN,7,8,1000,2123267
bucketKNN,7,10,1000,2823675
bucketKNN,7,16,1000,3800034
bucketKNN,7,2,10000,7107978
bucketKNN,7,4,10000,14366007
bucketKNN,7,8,10000,21655104
bucketKNN,7,10,10000,28811372
bucketKNN,7,16,10000,35516414
bucketKNN,7,2,100000,90720187
bucketKNN,7,4,100000,179628745
bucketKNN,7,8,100000,269223045
bucketKNN,7,10,100000,358171753
bucketKNN,7,16,100000,448712673
