structureName, dimension, k, n, time
bucketKNN,1,2,100,37143
bucketKNN,1,4,100,73554
bucketKNN,1,8,100,109901
bucketKNN,1,10,100,146184
bucketKNN,1,16,100,182411
bucketKNN,1,2,1000,144853
bucketKNN,1,4,1000,289750
bucketKNN,1,8,1000,436028
bucketKNN,1,10,1000,581908
bucketKNN,1,16,1000,726655
bucketKNN,1,2,10000,172786
bucketKNN,1,4,10000,345735
bucketKNN,1,8,10000,516743
bucketKNN,1,10,10000,687388
bucketKNN,1,16,10000,858093
bucketKNN,1,2,100000,187695
bucketKNN,1,4,100000,374929
bucketKNN,1,8,100000,562238
bucketKNN,1,10,100000,749535
bucketKNN,1,16,100000,936553
bucketKNN,2,2,100,54319
bucketKNN,2,4,100,108630
bucketKNN,2,8,100,162912
bucketKNN,2,10,100,217291
bucketKNN,2,16,100,271853
bucketKNN,2,2,1000,404159
bucketKNN,2,4,1000,808273
bucketKNN,2,8,1000,1212426
bucketKNN,2,10,1000,1616670
bucketKNN,2,16,1000,2021039
bucketKNN,2,2,10000,620624
bucketKNN,2,4,10000,1241372
bucketKNN,2,8,10000,1862260
bucketKNN,2,10,10000,2483593
bucketKNN,2,16,10000,3104253
bucketKNN,2,2,100000,748883
bucketKNN,2,4,100000,1497865
bucketKNN,2,8,100000,2270792
bucketKNN,2,10,100000,3020472
bucketKNN,2,16,100000,3769772
bucketKNN,3,2,100,40872
bucketKNN,3,4,100,83022
bucketKNN,3,8,100,123515
bucketKNN,3,10,100,164047
bucketKNN,3,16,100,206534
bucketKNN,3,2,1000,416727
bucketKNN,3,4,1000,832732
bucketKNN,3,8,1000,1249386
bucketKNN,3,10,1000,1664979
bucketKNN,3,16,1000,2080821
bucketKNN,3,2,10000,1679786
bucketKNN,3,4,10000,3321246
bucketKNN,3,8,10000,4962508
bucketKNN,3,10,10000,6604800
bucketKNN,3,16,10000,8246367
bucketKNN,3,2,100000,3263872
bucketKNN,3,4,100000,6543611
bucketKNN,3,8,100000,9827797
bucketKNN,3,10,100000,13166653
bucketKNN,3,16,100000,16476360
bucketKNN,4,2,100,46787
bucketKNN,4,4,100,93728
bucketKNN,4,8,100,140835
bucketKNN,4,10,100,188214
bucketKNN,4,16,100,233773
bucketKNN,4,2,1000,581705
bucketKNN,4,4,1000,1167657
bucketKNN,4,8,1000,1742586
bucketKNN,4,10,1000,2306060
bucketKNN,4,16,1000,2874199
bucketKNN,4,2,10000,3941409
bucketKNN,4,4,10000,7835642
bucketKNN,4,8,10000,11762243
bucketKNN,4,10,10000,15707780
bucketKNN,4,16,10000,19662552
bucketKNN,4,2,100000,12041104
bucketKNN,4,4,100000,24114055
bucketKNN,4,8,100000,36180208
bucketKNN,4,10,100000,48276862
bucketKNN,4,16,100000,60407022
bucketKNN,5,2,100,53120
bucketKNN,5,4,100,120959
bucketKNN,5,8,100,170887
bucketKNN,5,10,100,220508
bucketKNN,5,16,100,271591
bucketKNN,5,2,1000,625548
bucketKNN,5,4,1000,1252833
bucketKNN,5,8,1000,1879484
bucketKNN,5,10,1000,2507113
bucketKNN,5,16,1000,3175882
bucketKNN,5,2,10000,6513760
bucketKNN,5,4,10000,13051040
bucketKNN,5,8,10000,19560029
bucketKNN,5,10,10000,26065786
bucketKNN,5,16,10000,32671691
bucketKNN,5,2,100000,28407477
bucketKNN,5,4,100000,56345294
bucketKNN,5,8,100000,85389911
bucketKNN,5,10,100000,114003338
bucketKNN,5,16,100000,142092237
bucketKNN,6,2,100,50302
bucketKNN,6,4,100,99719
bucketKNN,6,8,100,148887
bucketKNN,6,10,100,202486
bucketKNN,6,16,100,252140
bucketKNN,6,2,1000,675823
bucketKNN,6,4,1000,1333265
bucketKNN,6,8,1000,1982898
bucketKNN,6,10,1000,2626729
bucketKNN,6,16,1000,3270458
bucketKNN,6,2,10000,6894548
bucketKNN,6,4,10000,13757495
bucketKNN,6,8,10000,20596108
bucketKNN,6,10,10000,27447972
bucketKNN,6,16,10000,34480183
bucketKNN,6,2,100000,41409814
bucketKNN,6,4,100000,83629400
bucketKNN,6,8,100000,124056888
bucketKNN,6,10,100000,164427839
bucketKNN,6,16,100000,204863346
bucketKNN,7,2,100,53345
bucketKNN,7,4,100,106197
bucketKNN,7,8,100,159079
bucketKNN,7,10,100,212022
bucketKNN,7,16,100,264913
bucketKNN,7,2,1000,708042
bucketKNN,7,4,1000,1415953
bucketKNN,7,8,1000,2123600
bucketKNN,7,10,1000,2830902
bucketKNN,7,16,1000,3538361
bucketKNN,7,2,10000,5538689
bucketKNN,7,4,10000,11130569
bucketKNN,7,8,10000,16666903
bucketKNN,7,10,10000,22224482
bucketKNN,7,16,10000,27765150
bucketKNN,7,2,100000,90860673
bucketKNN,7,4,100000,179287256
bucketKNN,7,8,100000,267329488
bucketKNN,7,10,100000,355786433
bucketKNN,7,16,100000,446956094
