structureName,dimension,k,n,time
bucketKNN,1,2,100,40705
bucketKNN,1,4,100,81403
bucketKNN,1,8,100,119269
bucketKNN,1,10,100,156865
bucketKNN,1,16,100,194487
bucketKNN,1,2,1000,63218
bucketKNN,1,4,1000,126129
bucketKNN,1,8,1000,188646
bucketKNN,1,10,1000,250935
bucketKNN,1,16,1000,313435
bucketKNN,1,2,10000,60617
bucketKNN,1,4,10000,120566
bucketKNN,1,8,10000,181143
bucketKNN,1,10,10000,241204
bucketKNN,1,16,10000,300626
bucketKNN,1,2,100000,61752
bucketKNN,1,4,100000,125075
bucketKNN,1,8,100000,187424
bucketKNN,1,10,100000,251726
bucketKNN,1,16,100000,317662
bucketKNN,2,2,100,58151
bucketKNN,2,4,100,115504
bucketKNN,2,8,100,172545
bucketKNN,2,10,100,230544
bucketKNN,2,16,100,287588
bucketKNN,2,2,1000,152223
bucketKNN,2,4,1000,300689
bucketKNN,2,8,1000,451028
bucketKNN,2,10,1000,601114
bucketKNN,2,16,1000,758842
bucketKNN,2,2,10000,119649
bucketKNN,2,4,10000,229458
bucketKNN,2,8,10000,338096
bucketKNN,2,10,10000,446591
bucketKNN,2,16,10000,555233
bucketKNN,2,2,100000,106985
bucketKNN,2,4,100000,214372
bucketKNN,2,8,100000,320663
bucketKNN,2,10,100000,428056
bucketKNN,2,16,100000,534938
bucketKNN,3,2,100,40651
bucketKNN,3,4,100,81161
bucketKNN,3,8,100,121653
bucketKNN,3,10,100,162218
bucketKNN,3,16,100,203396
bucketKNN,3,2,1000,143464
bucketKNN,3,4,1000,286737
bucketKNN,3,8,1000,429995
bucketKNN,3,10,1000,573064
bucketKNN,3,16,1000,716260
bucketKNN,3,2,10000,143143
bucketKNN,3,4,10000,286179
bucketKNN,3,8,10000,428762
bucketKNN,3,10,10000,571556
bucketKNN,3,16,10000,715059
bucketKNN,3,2,100000,155188
bucketKNN,3,4,100000,310776
bucketKNN,3,8,100000,466458
bucketKNN,3,10,100000,622578
bucketKNN,3,16,100000,778932
bucketKNN,4,2,100,39022
bucketKNN,4,4,100,78139
bucketKNN,4,8,100,117505
bucketKNN,4,10,100,156642
bucketKNN,4,16,100,195650
bucketKNN,4,2,1000,484837
bucketKNN,4,4,1000,968128
bucketKNN,4,8,1000,1452892
bucketKNN,4,10,1000,1934642
bucketKNN,4,16,1000,2421418
bucketKNN,4,2,10000,251755
bucketKNN,4,4,10000,505066
bucketKNN,4,8,10000,758895
bucketKNN,4,10,10000,1012079
bucketKNN,4,16,10000,1264340
bucketKNN,4,2,100000,227791
bucketKNN,4,4,100000,456263
bucketKNN,4,8,100000,685675
bucketKNN,4,10,100000,915578
bucketKNN,4,16,100000,1144303
bucketKNN,5,2,100,31896
bucketKNN,5,4,100,63909
bucketKNN,5,8,100,95621
bucketKNN,5,10,100,127268
bucketKNN,5,16,100,159100
bucketKNN,5,2,1000,418016
bucketKNN,5,4,1000,835512
bucketKNN,5,8,1000,1257913
bucketKNN,5,10,1000,1676027
bucketKNN,5,16,1000,2095192
bucketKNN,5,2,10000,593198
bucketKNN,5,4,10000,1186436
bucketKNN,5,8,10000,1779028
bucketKNN,5,10,10000,2374529
bucketKNN,5,16,10000,2966350
bucketKNN,5,2,100000,374432
bucketKNN,5,4,100000,751279
bucketKNN,5,8,100000,1128279
bucketKNN,5,10,100000,1503260
bucketKNN,5,16,100000,1883242
bucketKNN,6,2,100,24950
bucketKNN,6,4,100,50221
bucketKNN,6,8,100,75130
bucketKNN,6,10,100,100149
bucketKNN,6,16,100,125322
bucketKNN,6,2,1000,365050
bucketKNN,6,4,1000,713706
bucketKNN,6,8,1000,1063445
bucketKNN,6,10,1000,1413112
bucketKNN,6,16,1000,1763258
bucketKNN,6,2,10000,369680
bucketKNN,6,4,10000,739217
bucketKNN,6,8,10000,1104665
bucketKNN,6,10,10000,1473460
bucketKNN,6,16,10000,1842231
bucketKNN,6,2,100000,694582
bucketKNN,6,4,100000,1378608
bucketKNN,6,8,100000,2060327
bucketKNN,6,10,100000,2753399
bucketKNN,6,16,100000,3439578
bucketKNN,7,2,100,21815
bucketKNN,7,4,100,43745
bucketKNN,7,8,100,65445
bucketKNN,7,10,100,87671
bucketKNN,7,16,100,110695
bucketKNN,7,2,1000,287343
bucketKNN,7,4,1000,574819
bucketKNN,7,8,1000,862472
bucketKNN,7,10,1000,1149676
bucketKNN,7,16,1000,1437313
bucketKNN,7,2,10000,324887
bucketKNN,7,4,10000,650609
bucketKNN,7,8,10000,975997
bucketKNN,7,10,10000,1301347
bucketKNN,7,16,10000,1628021
bucketKNN,7,2,100000,3403085
bucketKNN,7,4,100000,6825052
bucketKNN,7,8,100000,10233290
bucketKNN,7,10,100000,13637800
bucketKNN,7,16,100000,17040425
