structureName, dimension, k, n, time
bucketKNN,1,2,100,37414
bucketKNN,1,4,100,74563
bucketKNN,1,8,100,111904
bucketKNN,1,10,100,149204
bucketKNN,1,16,100,186392
bucketKNN,1,2,1000,59621
bucketKNN,1,4,1000,119081
bucketKNN,1,8,1000,178481
bucketKNN,1,10,1000,237924
bucketKNN,1,16,1000,297127
bucketKNN,1,2,10000,58283
bucketKNN,1,4,10000,116800
bucketKNN,1,8,10000,175314
bucketKNN,1,10,10000,233698
bucketKNN,1,16,10000,292171
bucketKNN,1,2,100000,59561
bucketKNN,1,4,100000,119225
bucketKNN,1,8,100000,179225
bucketKNN,1,10,100000,239907
bucketKNN,1,16,100000,300464
bucketKNN,2,2,100,50533
bucketKNN,2,4,100,101773
bucketKNN,2,8,100,151656
bucketKNN,2,10,100,201535
bucketKNN,2,16,100,251402
bucketKNN,2,2,1000,120092
bucketKNN,2,4,1000,240177
bucketKNN,2,8,1000,361943
bucketKNN,2,10,1000,481701
bucketKNN,2,16,1000,601555
bucketKNN,2,2,10000,105286
bucketKNN,2,4,10000,210677
bucketKNN,2,8,10000,316053
bucketKNN,2,10,10000,421356
bucketKNN,2,16,10000,526808
bucketKNN,2,2,100000,100989
bucketKNN,2,4,100000,202064
bucketKNN,2,8,100000,303174
bucketKNN,2,10,100000,404250
bucketKNN,2,16,100000,505159
bucketKNN,3,2,100,40070
bucketKNN,3,4,100,80120
bucketKNN,3,8,100,120065
bucketKNN,3,10,100,160072
bucketKNN,3,16,100,200120
bucketKNN,3,2,1000,136445
bucketKNN,3,4,1000,273285
bucketKNN,3,8,1000,410300
bucketKNN,3,10,1000,547311
bucketKNN,3,16,1000,684522
bucketKNN,3,2,10000,138281
bucketKNN,3,4,10000,276488
bucketKNN,3,8,10000,414775
bucketKNN,3,10,10000,552656
bucketKNN,3,16,10000,696660
bucketKNN,3,2,100000,166410
bucketKNN,3,4,100000,340220
bucketKNN,3,8,100000,505227
bucketKNN,3,10,100000,667302
bucketKNN,3,16,100000,828071
bucketKNN,4,2,100,52925
bucketKNN,4,4,100,88630
bucketKNN,4,8,100,124529
bucketKNN,4,10,100,160227
bucketKNN,4,16,100,196025
bucketKNN,4,2,1000,446416
bucketKNN,4,4,1000,909082
bucketKNN,4,8,1000,1373726
bucketKNN,4,10,1000,1824719
bucketKNN,4,16,1000,2290349
bucketKNN,4,2,10000,266274
bucketKNN,4,4,10000,550382
bucketKNN,4,8,10000,817630
bucketKNN,4,10,10000,1080866
bucketKNN,4,16,10000,1334772
bucketKNN,4,2,100000,217940
bucketKNN,4,4,100000,436844
bucketKNN,4,8,100000,657154
bucketKNN,4,10,100000,877127
bucketKNN,4,16,100000,1094279
bucketKNN,5,2,100,34308
bucketKNN,5,4,100,69324
bucketKNN,5,8,100,103878
bucketKNN,5,10,100,138462
bucketKNN,5,16,100,173053
bucketKNN,5,2,1000,391649
bucketKNN,5,4,1000,783956
bucketKNN,5,8,1000,1174505
bucketKNN,5,10,1000,1566462
bucketKNN,5,16,1000,1958427
bucketKNN,5,2,10000,546560
bucketKNN,5,4,10000,1091121
bucketKNN,5,8,10000,1637800
bucketKNN,5,10,10000,2181038
bucketKNN,5,16,10000,2724159
bucketKNN,5,2,100000,680337
bucketKNN,5,4,100000,1060279
bucketKNN,5,8,100000,1423103
bucketKNN,5,10,100000,1790238
bucketKNN,5,16,100000,2161887
bucketKNN,6,2,100,27895
bucketKNN,6,4,100,55561
bucketKNN,6,8,100,92378
bucketKNN,6,10,100,121639
bucketKNN,6,16,100,149643
bucketKNN,6,2,1000,330272
bucketKNN,6,4,1000,660769
bucketKNN,6,8,1000,989079
bucketKNN,6,10,1000,1315449
bucketKNN,6,16,1000,1638299
bucketKNN,6,2,10000,374148
bucketKNN,6,4,10000,748137
bucketKNN,6,8,10000,1124051
bucketKNN,6,10,10000,1500534
bucketKNN,6,16,10000,1876978
bucketKNN,6,2,100000,992889
bucketKNN,6,4,100000,1684599
bucketKNN,6,8,100000,2370503
bucketKNN,6,10,100000,3076785
bucketKNN,6,16,100000,3786661
bucketKNN,7,2,100,20677
bucketKNN,7,4,100,41478
bucketKNN,7,8,100,62136
bucketKNN,7,10,100,83301
bucketKNN,7,16,100,105606
bucketKNN,7,2,1000,320647
bucketKNN,7,4,1000,580033
bucketKNN,7,8,1000,838677
bucketKNN,7,10,1000,1102655
bucketKNN,7,16,1000,1361451
bucketKNN,7,2,10000,328486
bucketKNN,7,4,10000,658413
bucketKNN,7,8,10000,987316
bucketKNN,7,10,10000,1620754
bucketKNN,7,16,10000,2316173
bucketKNN,7,2,100000,3790898
bucketKNN,7,4,100000,7183234
bucketKNN,7,8,100000,10623791
bucketKNN,7,10,100000,14019400
bucketKNN,7,16,100000,17336640
