structureName, dimension, k, n, time
dumbKNN,1,2,100,12644
dumbKNN,1,4,100,23330
dumbKNN,1,8,100,33847
dumbKNN,1,10,100,43382
dumbKNN,1,16,100,53613
dumbKNN,1,2,1000,46737
dumbKNN,1,4,1000,93136
dumbKNN,1,8,1000,139418
dumbKNN,1,10,1000,188716
dumbKNN,1,16,1000,245066
dumbKNN,1,2,10000,405155
dumbKNN,1,4,10000,815855
dumbKNN,1,8,10000,1226559
dumbKNN,1,10,10000,1637971
dumbKNN,1,16,10000,2097119
dumbKNN,1,2,100000,4090152
dumbKNN,1,4,100000,8126569
dumbKNN,1,8,100000,12168019
dumbKNN,1,10,100000,16241156
dumbKNN,1,16,100000,21384999
dumbKNN,2,2,100,7902
dumbKNN,2,4,100,16374
dumbKNN,2,8,100,25948
dumbKNN,2,10,100,36387
dumbKNN,2,16,100,48371
dumbKNN,2,2,1000,69249
dumbKNN,2,4,1000,137409
dumbKNN,2,8,1000,206482
dumbKNN,2,10,1000,274346
dumbKNN,2,16,1000,354732
dumbKNN,2,2,10000,624864
dumbKNN,2,4,10000,1257554
dumbKNN,2,8,10000,1894530
dumbKNN,2,10,10000,2534907
dumbKNN,2,16,10000,3237736
dumbKNN,2,2,100000,6210288
dumbKNN,2,4,100000,12451387
dumbKNN,2,8,100000,18672036
dumbKNN,2,10,100000,25188782
dumbKNN,2,16,100000,31799582
dumbKNN,3,2,100,10273
dumbKNN,3,4,100,20903
dumbKNN,3,8,100,33385
dumbKNN,3,10,100,46559
dumbKNN,3,16,100,60409
dumbKNN,3,2,1000,86505
dumbKNN,3,4,1000,172527
dumbKNN,3,8,1000,263676
dumbKNN,3,10,1000,357644
dumbKNN,3,16,1000,458619
dumbKNN,3,2,10000,801190
dumbKNN,3,4,10000,1601205
dumbKNN,3,8,10000,2401655
dumbKNN,3,10,10000,3204362
dumbKNN,3,16,10000,4075046
dumbKNN,3,2,100000,7841011
dumbKNN,3,4,100000,15680016
dumbKNN,3,8,100000,23627429
dumbKNN,3,10,100000,31480653
dumbKNN,3,16,100000,39885852
dumbKNN,4,2,100,12531
dumbKNN,4,4,100,25678
dumbKNN,4,8,100,40472
dumbKNN,4,10,100,57531
dumbKNN,4,16,100,74687
dumbKNN,4,2,1000,107852
dumbKNN,4,4,1000,217300
dumbKNN,4,8,1000,328654
dumbKNN,4,10,1000,440730
dumbKNN,4,16,1000,569102
dumbKNN,4,2,10000,1005307
dumbKNN,4,4,10000,2012385
dumbKNN,4,8,10000,3027973
dumbKNN,4,10,10000,4042327
dumbKNN,4,16,10000,5140708
dumbKNN,4,2,100000,9977212
dumbKNN,4,4,100000,19954036
dumbKNN,4,8,100000,29954473
dumbKNN,4,10,100000,39952104
dumbKNN,4,16,100000,50575630
dumbKNN,5,2,100,15379
dumbKNN,5,4,100,31810
dumbKNN,5,8,100,48720
dumbKNN,5,10,100,68327
dumbKNN,5,16,100,89131
dumbKNN,5,2,1000,127970
dumbKNN,5,4,1000,256194
dumbKNN,5,8,1000,387235
dumbKNN,5,10,1000,518576
dumbKNN,5,16,1000,666667
dumbKNN,5,2,10000,1204256
dumbKNN,5,4,10000,2420016
dumbKNN,5,8,10000,3662626
dumbKNN,5,10,10000,4895364
dumbKNN,5,16,10000,6234627
dumbKNN,5,2,100000,11824174
dumbKNN,5,4,100000,23633190
dumbKNN,5,8,100000,35474551
dumbKNN,5,10,100000,47316437
dumbKNN,5,16,100000,59928380
dumbKNN,6,2,100,16802
dumbKNN,6,4,100,34581
dumbKNN,6,8,100,55129
dumbKNN,6,10,100,77658
dumbKNN,6,16,100,101210
dumbKNN,6,2,1000,146805
dumbKNN,6,4,1000,294126
dumbKNN,6,8,1000,444373
dumbKNN,6,10,1000,599475
dumbKNN,6,16,1000,769797
dumbKNN,6,2,10000,1361681
dumbKNN,6,4,10000,2715424
dumbKNN,6,8,10000,4078097
dumbKNN,6,10,10000,5444581
dumbKNN,6,16,10000,6916712
dumbKNN,6,2,100000,13362005
dumbKNN,6,4,100000,26731256
dumbKNN,6,8,100000,40075593
dumbKNN,6,10,100000,53442503
dumbKNN,6,16,100000,67765544
dumbKNN,7,2,100,19368
dumbKNN,7,4,100,38962
dumbKNN,7,8,100,61496
dumbKNN,7,10,100,86507
dumbKNN,7,16,100,111705
dumbKNN,7,2,1000,163889
dumbKNN,7,4,1000,327258
dumbKNN,7,8,1000,494247
dumbKNN,7,10,1000,661815
dumbKNN,7,16,1000,848966
dumbKNN,7,2,10000,1548617
dumbKNN,7,4,10000,3135456
dumbKNN,7,8,10000,4693485
dumbKNN,7,10,10000,6227788
dumbKNN,7,16,10000,7888426
dumbKNN,7,2,100000,15924766
dumbKNN,7,4,100000,31315403
dumbKNN,7,8,100000,46523581
dumbKNN,7,10,100000,61756508
dumbKNN,7,16,100000,77819825
