structureName,dimension,k,n,time
dumbKNN,1,2,100,5761
dumbKNN,1,4,100,12346
dumbKNN,1,8,100,19534
dumbKNN,1,10,100,27216
dumbKNN,1,16,100,36065
dumbKNN,1,2,1000,46366
dumbKNN,1,4,1000,93118
dumbKNN,1,8,1000,140544
dumbKNN,1,10,1000,186530
dumbKNN,1,16,1000,240284
dumbKNN,1,2,10000,499449
dumbKNN,1,4,10000,947285
dumbKNN,1,8,10000,1380444
dumbKNN,1,10,10000,1797079
dumbKNN,1,16,10000,2248536
dumbKNN,1,2,100000,3853514
dumbKNN,1,4,100000,7777077
dumbKNN,1,8,100000,11681677
dumbKNN,1,10,100000,15553644
dumbKNN,1,16,100000,19763043
dumbKNN,2,2,100,7673
dumbKNN,2,4,100,15629
dumbKNN,2,8,100,24990
dumbKNN,2,10,100,35385
dumbKNN,2,16,100,46251
dumbKNN,2,2,1000,64926
dumbKNN,2,4,1000,130672
dumbKNN,2,8,1000,201140
dumbKNN,2,10,1000,270076
dumbKNN,2,16,1000,347834
dumbKNN,2,2,10000,607113
dumbKNN,2,4,10000,1237246
dumbKNN,2,8,10000,1853582
dumbKNN,2,10,10000,2468359
dumbKNN,2,16,10000,3148029
dumbKNN,2,2,100000,6110712
dumbKNN,2,4,100000,12220186
dumbKNN,2,8,100000,18374514
dumbKNN,2,10,100000,24522936
dumbKNN,2,16,100000,31117680
dumbKNN,3,2,100,10040
dumbKNN,3,4,100,20440
dumbKNN,3,8,100,32521
dumbKNN,3,10,100,45695
dumbKNN,3,16,100,59494
dumbKNN,3,2,1000,85986
dumbKNN,3,4,1000,172423
dumbKNN,3,8,1000,262459
dumbKNN,3,10,1000,354221
dumbKNN,3,16,1000,454835
dumbKNN,3,2,10000,805171
dumbKNN,3,4,10000,1608993
dumbKNN,3,8,10000,2418394
dumbKNN,3,10,10000,3230241
dumbKNN,3,16,10000,4103766
dumbKNN,3,2,100000,7882249
dumbKNN,3,4,100000,15811384
dumbKNN,3,8,100000,23726742
dumbKNN,3,10,100000,31648550
dumbKNN,3,16,100000,40083474
dumbKNN,4,2,100,12021
dumbKNN,4,4,100,24947
dumbKNN,4,8,100,39390
dumbKNN,4,10,100,55587
dumbKNN,4,16,100,73312
dumbKNN,4,2,1000,107883
dumbKNN,4,4,1000,217318
dumbKNN,4,8,1000,327578
dumbKNN,4,10,1000,443003
dumbKNN,4,16,1000,571896
dumbKNN,4,2,10000,1008895
dumbKNN,4,4,10000,2038208
dumbKNN,4,8,10000,3059397
dumbKNN,4,10,10000,4099578
dumbKNN,4,16,10000,5202297
dumbKNN,4,2,100000,9984090
dumbKNN,4,4,100000,19982302
dumbKNN,4,8,100000,30000401
dumbKNN,4,10,100000,41017834
dumbKNN,4,16,100000,51643288
dumbKNN,5,2,100,15473
dumbKNN,5,4,100,31360
dumbKNN,5,8,100,48857
dumbKNN,5,10,100,68181
dumbKNN,5,16,100,89479
dumbKNN,5,2,1000,128448
dumbKNN,5,4,1000,254726
dumbKNN,5,8,1000,388116
dumbKNN,5,10,1000,524002
dumbKNN,5,16,1000,677625
dumbKNN,5,2,10000,1218004
dumbKNN,5,4,10000,2429051
dumbKNN,5,8,10000,3644608
dumbKNN,5,10,10000,4862539
dumbKNN,5,16,10000,6180855
dumbKNN,5,2,100000,11919023
dumbKNN,5,4,100000,23926208
dumbKNN,5,8,100000,35945835
dumbKNN,5,10,100000,47916661
dumbKNN,5,16,100000,60699212
dumbKNN,6,2,100,16854
dumbKNN,6,4,100,35242
dumbKNN,6,8,100,55328
dumbKNN,6,10,100,77817
dumbKNN,6,16,100,101410
dumbKNN,6,2,1000,144484
dumbKNN,6,4,1000,289513
dumbKNN,6,8,1000,442349
dumbKNN,6,10,1000,598104
dumbKNN,6,16,1000,768664
dumbKNN,6,2,10000,1357240
dumbKNN,6,4,10000,2718752
dumbKNN,6,8,10000,4101595
dumbKNN,6,10,10000,5470449
dumbKNN,6,16,10000,6979105
dumbKNN,6,2,100000,13408281
dumbKNN,6,4,100000,26791394
dumbKNN,6,8,100000,40212982
dumbKNN,6,10,100000,53710680
dumbKNN,6,16,100000,68107014
dumbKNN,7,2,100,19943
dumbKNN,7,4,100,40006
dumbKNN,7,8,100,63636
dumbKNN,7,10,100,88464
dumbKNN,7,16,100,115669
dumbKNN,7,2,1000,165210
dumbKNN,7,4,1000,332268
dumbKNN,7,8,1000,500550
dumbKNN,7,10,1000,673099
dumbKNN,7,16,1000,867169
dumbKNN,7,2,10000,1544384
dumbKNN,7,4,10000,3835218
dumbKNN,7,8,10000,5389059
dumbKNN,7,10,10000,6946800
dumbKNN,7,16,10000,8612666
dumbKNN,7,2,100000,14914248
dumbKNN,7,4,100000,30115562
dumbKNN,7,8,100000,45320336
dumbKNN,7,10,100000,60517946
dumbKNN,7,16,100000,76792065
