structureName, dimension, k, n, time
dumbKNN,1,2,100,5656
dumbKNN,1,4,100,12190
dumbKNN,1,8,100,18741
dumbKNN,1,10,100,26186
dumbKNN,1,16,100,34435
dumbKNN,1,2,1000,48100
dumbKNN,1,4,1000,97883
dumbKNN,1,8,1000,147420
dumbKNN,1,10,1000,197364
dumbKNN,1,16,1000,255965
dumbKNN,1,2,10000,423572
dumbKNN,1,4,10000,846090
dumbKNN,1,8,10000,1268589
dumbKNN,1,10,10000,1689387
dumbKNN,1,16,10000,2153963
dumbKNN,1,2,100000,4036466
dumbKNN,1,4,100000,8094356
dumbKNN,1,8,100000,12162342
dumbKNN,1,10,100000,16219102
dumbKNN,1,16,100000,20586359
dumbKNN,2,2,100,7933
dumbKNN,2,4,100,16072
dumbKNN,2,8,100,25465
dumbKNN,2,10,100,35692
dumbKNN,2,16,100,47090
dumbKNN,2,2,1000,67250
dumbKNN,2,4,1000,134426
dumbKNN,2,8,1000,204524
dumbKNN,2,10,1000,276075
dumbKNN,2,16,1000,354796
dumbKNN,2,2,10000,620079
dumbKNN,2,4,10000,1242934
dumbKNN,2,8,10000,1869302
dumbKNN,2,10,10000,2494901
dumbKNN,2,16,10000,3173667
dumbKNN,2,2,100000,6107529
dumbKNN,2,4,100000,12201810
dumbKNN,2,8,100000,18311600
dumbKNN,2,10,100000,24441467
dumbKNN,2,16,100000,30980601
dumbKNN,3,2,100,10290
dumbKNN,3,4,100,21142
dumbKNN,3,8,100,33229
dumbKNN,3,10,100,45418
dumbKNN,3,16,100,59093
dumbKNN,3,2,1000,87641
dumbKNN,3,4,1000,175135
dumbKNN,3,8,1000,264472
dumbKNN,3,10,1000,354840
dumbKNN,3,16,1000,454974
dumbKNN,3,2,10000,796714
dumbKNN,3,4,10000,1594749
dumbKNN,3,8,10000,2399280
dumbKNN,3,10,10000,3219713
dumbKNN,3,16,10000,4089433
dumbKNN,3,2,100000,7830292
dumbKNN,3,4,100000,15724441
dumbKNN,3,8,100000,23558466
dumbKNN,3,10,100000,31413812
dumbKNN,3,16,100000,39774957
dumbKNN,4,2,100,12500
dumbKNN,4,4,100,25776
dumbKNN,4,8,100,41053
dumbKNN,4,10,100,56277
dumbKNN,4,16,100,73998
dumbKNN,4,2,1000,106519
dumbKNN,4,4,1000,214339
dumbKNN,4,8,1000,324975
dumbKNN,4,10,1000,439658
dumbKNN,4,16,1000,564405
dumbKNN,4,2,10000,1025399
dumbKNN,4,4,10000,2032475
dumbKNN,4,8,10000,3040531
dumbKNN,4,10,10000,4067694
dumbKNN,4,16,10000,5157399
dumbKNN,4,2,100000,9929727
dumbKNN,4,4,100000,19890026
dumbKNN,4,8,100000,29811483
dumbKNN,4,10,100000,39772850
dumbKNN,4,16,100000,50394995
dumbKNN,5,2,100,15557
dumbKNN,5,4,100,31383
dumbKNN,5,8,100,49721
dumbKNN,5,10,100,68460
dumbKNN,5,16,100,90010
dumbKNN,5,2,1000,129186
dumbKNN,5,4,1000,257926
dumbKNN,5,8,1000,390529
dumbKNN,5,10,1000,523043
dumbKNN,5,16,1000,672915
dumbKNN,5,2,10000,1201440
dumbKNN,5,4,10000,2398997
dumbKNN,5,8,10000,3597379
dumbKNN,5,10,10000,4804055
dumbKNN,5,16,10000,6110299
dumbKNN,5,2,100000,11775312
dumbKNN,5,4,100000,23557341
dumbKNN,5,8,100000,35343616
dumbKNN,5,10,100000,47166787
dumbKNN,5,16,100000,59722773
dumbKNN,6,2,100,17216
dumbKNN,6,4,100,34346
dumbKNN,6,8,100,54791
dumbKNN,6,10,100,75324
dumbKNN,6,16,100,99208
dumbKNN,6,2,1000,144101
dumbKNN,6,4,1000,291334
dumbKNN,6,8,1000,437627
dumbKNN,6,10,1000,591221
dumbKNN,6,16,1000,756515
dumbKNN,6,2,10000,1351012
dumbKNN,6,4,10000,2708055
dumbKNN,6,8,10000,4069847
dumbKNN,6,10,10000,5450850
dumbKNN,6,16,10000,6930620
dumbKNN,6,2,100000,13783334
dumbKNN,6,4,100000,27172564
dumbKNN,6,8,100000,40908803
dumbKNN,6,10,100000,54524816
dumbKNN,6,16,100000,68750706
dumbKNN,7,2,100,19169
dumbKNN,7,4,100,38406
dumbKNN,7,8,100,59599
dumbKNN,7,10,100,83366
dumbKNN,7,16,100,109133
dumbKNN,7,2,1000,159108
dumbKNN,7,4,1000,319002
dumbKNN,7,8,1000,483133
dumbKNN,7,10,1000,643671
dumbKNN,7,16,1000,827533
dumbKNN,7,2,10000,1486356
dumbKNN,7,4,10000,3261446
dumbKNN,7,8,10000,4759425
dumbKNN,7,10,10000,6256940
dumbKNN,7,16,10000,7875581
dumbKNN,7,2,100000,15458117
dumbKNN,7,4,100000,31110592
dumbKNN,7,8,100000,46426870
dumbKNN,7,10,100000,61917124
dumbKNN,7,16,100000,78675715
