structureName,dimension,k,n,time
kdTree,1,2,100,1151
kdTree,1,4,100,5908
kdTree,1,8,100,14349
kdTree,1,10,100,21994
kdTree,1,16,100,30029
kdTree,1,2,1000,2718
kdTree,1,4,1000,23989
kdTree,1,8,1000,95906
kdTree,1,10,1000,169812
kdTree,1,16,1000,245714
kdTree,1,2,10000,3725
kdTree,1,4,10000,92975
kdTree,1,8,10000,666073
kdTree,1,10,10000,1389076
kdTree,1,16,10000,2136253
kdTree,1,2,100000,5100
kdTree,1,4,100000,138345
kdTree,1,8,100000,3665086
kdTree,1,10,100000,10043028
kdTree,1,16,100000,17445650
kdTree,2,2,100,2513
kdTree,2,4,100,7213
kdTree,2,8,100,14576
kdTree,2,10,100,22295
kdTree,2,16,100,30677
kdTree,2,2,1000,8859
kdTree,2,4,1000,25837
kdTree,2,8,1000,60706
kdTree,2,10,1000,121634
kdTree,2,16,1000,196185
kdTree,2,2,10000,26370
kdTree,2,4,10000,105702
kdTree,2,8,10000,236422
kdTree,2,10,10000,366994
kdTree,2,16,10000,560264
kdTree,2,2,100000,64463
kdTree,2,4,100000,239963
kdTree,2,8,100000,547987
kdTree,2,10,100000,904313
kdTree,2,16,100000,1422484
kdTree,3,2,100,3825
kdTree,3,4,100,10028
kdTree,3,8,100,18161
kdTree,3,10,100,27410
kdTree,3,16,100,38538
kdTree,3,2,1000,12291
kdTree,3,4,1000,30959
kdTree,3,8,1000,59018
kdTree,3,10,1000,89979
kdTree,3,16,1000,130426
kdTree,3,2,10000,33240
kdTree,3,4,10000,87575
kdTree,3,8,10000,173369
kdTree,3,10,10000,273076
kdTree,3,16,10000,406223
kdTree,3,2,100000,69253
kdTree,3,4,100000,227066
kdTree,3,8,100000,441659
kdTree,3,10,100000,687218
kdTree,3,16,100000,1020711
kdTree,4,2,100,11539
kdTree,4,4,100,19906
kdTree,4,8,100,31582
kdTree,4,10,100,44354
kdTree,4,16,100,60041
kdTree,4,2,1000,18459
kdTree,4,4,1000,44257
kdTree,4,8,1000,83568
kdTree,4,10,1000,125415
kdTree,4,16,1000,181646
kdTree,4,2,10000,45099
kdTree,4,4,10000,114084
kdTree,4,8,10000,218971
kdTree,4,10,10000,340709
kdTree,4,16,10000,492586
kdTree,4,2,100000,102953
kdTree,4,4,100000,293084
kdTree,4,8,100000,526788
kdTree,4,10,100000,795767
kdTree,4,16,100000,1143951
kdTree,5,2,100,7441
kdTree,5,4,100,17905
kdTree,5,8,100,31251
kdTree,5,10,100,46108
kdTree,5,16,100,63659
kdTree,5,2,1000,35666
kdTree,5,4,1000,75663
kdTree,5,8,1000,130621
kdTree,5,10,1000,189893
kdTree,5,16,1000,265318
kdTree,5,2,10000,68988
kdTree,5,4,10000,164008
kdTree,5,8,10000,293525
kdTree,5,10,10000,441819
kdTree,5,16,10000,625035
kdTree,5,2,100000,197752
kdTree,5,4,100000,465213
kdTree,5,8,100000,808323
kdTree,5,10,100000,1181876
kdTree,5,16,100000,1657787
kdTree,6,2,100,10556
kdTree,6,4,100,23351
kdTree,6,8,100,39096
kdTree,6,10,100,55970
kdTree,6,16,100,75894
kdTree,6,2,1000,46028
kdTree,6,4,1000,98398
kdTree,6,8,1000,168036
kdTree,6,10,1000,243537
kdTree,6,16,1000,336298
kdTree,6,2,10000,124438
kdTree,6,4,10000,290622
kdTree,6,8,10000,501958
kdTree,6,10,10000,732674
kdTree,6,16,10000,1018377
kdTree,6,2,100000,304401
kdTree,6,4,100000,678417
kdTree,6,8,100000,1165801
kdTree,6,10,100000,1698686
kdTree,6,16,100000,2356247
kdTree,7,2,100,12618
kdTree,7,4,100,27403
kdTree,7,8,100,50893
kdTree,7,10,100,70486
kdTree,7,16,100,92878
kdTree,7,2,1000,85063
kdTree,7,4,1000,175285
kdTree,7,8,1000,270461
kdTree,7,10,1000,373077
kdTree,7,16,1000,492362
kdTree,7,2,10000,200289
kdTree,7,4,10000,449046
kdTree,7,8,10000,750523
kdTree,7,10,10000,1081445
kdTree,7,16,10000,1477829
kdTree,7,2,100000,453994
kdTree,7,4,100000,1068753
kdTree,7,8,100000,1820529
kdTree,7,10,100000,2676944
kdTree,7,16,100000,3802305
