structureName, dimension, k, n, time
kdTree,1,2,100,1130
kdTree,1,4,100,5793
kdTree,1,8,100,13055
kdTree,1,10,100,20406
kdTree,1,16,100,27931
kdTree,1,2,1000,2124
kdTree,1,4,1000,21579
kdTree,1,8,1000,89749
kdTree,1,10,1000,157988
kdTree,1,16,1000,229530
kdTree,1,2,10000,3811
kdTree,1,4,10000,62344
kdTree,1,8,10000,636216
kdTree,1,10,10000,1335094
kdTree,1,16,10000,2378246
kdTree,1,2,100000,4847
kdTree,1,4,100000,130996
kdTree,1,8,100000,3404394
kdTree,1,10,100000,9363105
kdTree,1,16,100000,16902036
kdTree,2,2,100,2661
kdTree,2,4,100,7352
kdTree,2,8,100,14442
kdTree,2,10,100,22315
kdTree,2,16,100,31723
kdTree,2,2,1000,11416
kdTree,2,4,1000,31371
kdTree,2,8,1000,63091
kdTree,2,10,1000,98735
kdTree,2,16,1000,143918
kdTree,2,2,10000,25054
kdTree,2,4,10000,75969
kdTree,2,8,10000,172906
kdTree,2,10,10000,285573
kdTree,2,16,10000,439097
kdTree,2,2,100000,61712
kdTree,2,4,100000,234774
kdTree,2,8,100000,617398
kdTree,2,10,100000,1034818
kdTree,2,16,100000,1879814
kdTree,3,2,100,5489
kdTree,3,4,100,13650
kdTree,3,8,100,24116
kdTree,3,10,100,34963
kdTree,3,16,100,48260
kdTree,3,2,1000,13007
kdTree,3,4,1000,32467
kdTree,3,8,1000,60325
kdTree,3,10,1000,90103
kdTree,3,16,1000,128218
kdTree,3,2,10000,45433
kdTree,3,4,10000,97641
kdTree,3,8,10000,184974
kdTree,3,10,10000,278765
kdTree,3,16,10000,403277
kdTree,3,2,100000,72786
kdTree,3,4,100000,202744
kdTree,3,8,100000,444013
kdTree,3,10,100000,689667
kdTree,3,16,100000,1016220
kdTree,4,2,100,5472
kdTree,4,4,100,13535
kdTree,4,8,100,24343
kdTree,4,10,100,36207
kdTree,4,16,100,50760
kdTree,4,2,1000,18620
kdTree,4,4,1000,44365
kdTree,4,8,1000,80789
kdTree,4,10,1000,122954
kdTree,4,16,1000,174799
kdTree,4,2,10000,48901
kdTree,4,4,10000,114052
kdTree,4,8,10000,207745
kdTree,4,10,10000,313318
kdTree,4,16,10000,448824
kdTree,4,2,100000,109642
kdTree,4,4,100000,265329
kdTree,4,8,100000,528499
kdTree,4,10,100000,827896
kdTree,4,16,100000,1192367
kdTree,5,2,100,7839
kdTree,5,4,100,18245
kdTree,5,8,100,32447
kdTree,5,10,100,48835
kdTree,5,16,100,66869
kdTree,5,2,1000,28430
kdTree,5,4,1000,65977
kdTree,5,8,1000,117608
kdTree,5,10,1000,173709
kdTree,5,16,1000,249527
kdTree,5,2,10000,100533
kdTree,5,4,10000,209374
kdTree,5,8,10000,355187
kdTree,5,10,10000,517059
kdTree,5,16,10000,723272
kdTree,5,2,100000,162770
kdTree,5,4,100000,401439
kdTree,5,8,100000,735463
kdTree,5,10,100000,1113007
kdTree,5,16,100000,1614757
kdTree,6,2,100,10097
kdTree,6,4,100,22539
kdTree,6,8,100,38619
kdTree,6,10,100,55848
kdTree,6,16,100,76253
kdTree,6,2,1000,40791
kdTree,6,4,1000,92383
kdTree,6,8,1000,163825
kdTree,6,10,1000,235773
kdTree,6,16,1000,323584
kdTree,6,2,10000,114298
kdTree,6,4,10000,264563
kdTree,6,8,10000,469038
kdTree,6,10,10000,707836
kdTree,6,16,10000,1003433
kdTree,6,2,100000,394194
kdTree,6,4,100000,851553
kdTree,6,8,100000,1371718
kdTree,6,10,100000,1938292
kdTree,6,16,100000,2623202
kdTree,7,2,100,11685
kdTree,7,4,100,26013
kdTree,7,8,100,43972
kdTree,7,10,100,62968
kdTree,7,16,100,84675
kdTree,7,2,1000,56491
kdTree,7,4,1000,127318
kdTree,7,8,1000,216882
kdTree,7,10,1000,314930
kdTree,7,16,1000,429652
kdTree,7,2,10000,221296
kdTree,7,4,10000,471806
kdTree,7,8,10000,831000
kdTree,7,10,10000,1482708
kdTree,7,16,10000,1904259
kdTree,7,2,100000,456823
kdTree,7,4,100000,1100114
kdTree,7,8,100000,1887919
kdTree,7,10,100000,2730788
kdTree,7,16,100000,3737638
