structureName,dimension,k,n,time
kdTree,1,2,100,1184
kdTree,1,4,100,5722
kdTree,1,8,100,12607
kdTree,1,10,100,19556
kdTree,1,16,100,26690
kdTree,1,2,1000,2277
kdTree,1,4,1000,29261
kdTree,1,8,1000,104883
kdTree,1,10,1000,318200
kdTree,1,16,1000,419333
kdTree,1,2,10000,3696
kdTree,1,4,10000,64643
kdTree,1,8,10000,650682
kdTree,1,10,10000,1346861
kdTree,1,16,10000,2094244
kdTree,1,2,100000,5723
kdTree,1,4,100000,138820
kdTree,1,8,100000,3825023
kdTree,1,10,100000,10188625
kdTree,1,16,100000,18422719
kdTree,2,2,100,2891
kdTree,2,4,100,8220
kdTree,2,8,100,15793
kdTree,2,10,100,24080
kdTree,2,16,100,33618
kdTree,2,2,1000,7691
kdTree,2,4,1000,23791
kdTree,2,8,1000,50675
kdTree,2,10,1000,80982
kdTree,2,16,1000,120144
kdTree,2,2,10000,19461
kdTree,2,4,10000,73212
kdTree,2,8,10000,183046
kdTree,2,10,10000,308550
kdTree,2,16,10000,481977
kdTree,2,2,100000,63420
kdTree,2,4,100000,246793
kdTree,2,8,100000,600580
kdTree,2,10,100000,1043084
kdTree,2,16,100000,1624854
kdTree,3,2,100,3782
kdTree,3,4,100,9709
kdTree,3,8,100,17891
kdTree,3,10,100,27005
kdTree,3,16,100,38592
kdTree,3,2,1000,11562
kdTree,3,4,1000,29459
kdTree,3,8,1000,58217
kdTree,3,10,1000,88515
kdTree,3,16,1000,127551
kdTree,3,2,10000,194610
kdTree,3,4,10000,261577
kdTree,3,8,10000,453998
kdTree,3,10,10000,579653
kdTree,3,16,10000,996481
kdTree,3,2,100000,76468
kdTree,3,4,100000,218292
kdTree,3,8,100000,471360
kdTree,3,10,100000,733585
kdTree,3,16,100000,1095837
kdTree,4,2,100,5574
kdTree,4,4,100,13361
kdTree,4,8,100,24429
kdTree,4,10,100,36457
kdTree,4,16,100,51580
kdTree,4,2,1000,17572
kdTree,4,4,1000,43005
kdTree,4,8,1000,78930
kdTree,4,10,1000,118763
kdTree,4,16,1000,169861
kdTree,4,2,10000,48671
kdTree,4,4,10000,119280
kdTree,4,8,10000,219497
kdTree,4,10,10000,331896
kdTree,4,16,10000,494660
kdTree,4,2,100000,117076
kdTree,4,4,100000,331078
kdTree,4,8,100000,578208
kdTree,4,10,100000,860848
kdTree,4,16,100000,1227559
kdTree,5,2,100,7023
kdTree,5,4,100,16347
kdTree,5,8,100,29524
kdTree,5,10,100,44111
kdTree,5,16,100,61353
kdTree,5,2,1000,24459
kdTree,5,4,1000,61228
kdTree,5,8,1000,108580
kdTree,5,10,1000,161544
kdTree,5,16,1000,228898
kdTree,5,2,10000,74812
kdTree,5,4,10000,181559
kdTree,5,8,10000,324697
kdTree,5,10,10000,482164
kdTree,5,16,10000,685790
kdTree,5,2,100000,158602
kdTree,5,4,100000,381576
kdTree,5,8,100000,698635
kdTree,5,10,100000,1079699
kdTree,5,16,100000,1547919
kdTree,6,2,100,9943
kdTree,6,4,100,23041
kdTree,6,8,100,39424
kdTree,6,10,100,56597
kdTree,6,16,100,77147
kdTree,6,2,1000,35036
kdTree,6,4,1000,81920
kdTree,6,8,1000,145458
kdTree,6,10,1000,214836
kdTree,6,16,1000,300421
kdTree,6,2,10000,98816
kdTree,6,4,10000,527128
kdTree,6,8,10000,713924
kdTree,6,10,10000,918414
kdTree,6,16,10000,1166721
kdTree,6,2,100000,286380
kdTree,6,4,100000,637954
kdTree,6,8,100000,1212936
kdTree,6,10,100000,1702994
kdTree,6,16,100000,2349124
kdTree,7,2,100,12616
kdTree,7,4,100,28629
kdTree,7,8,100,48148
kdTree,7,10,100,68312
kdTree,7,16,100,92392
kdTree,7,2,1000,52593
kdTree,7,4,1000,120331
kdTree,7,8,1000,203009
kdTree,7,10,1000,293389
kdTree,7,16,1000,404197
kdTree,7,2,10000,149447
kdTree,7,4,10000,340841
kdTree,7,8,10000,585494
kdTree,7,10,10000,854719
kdTree,7,16,10000,1193782
kdTree,7,2,100000,424707
kdTree,7,4,100000,943861
kdTree,7,8,100000,1583406
kdTree,7,10,100000,2295839
kdTree,7,16,100000,3164861
