structureName, dimension, k, n, time
kdTree,1,2,100,1339
kdTree,1,4,100,6753
kdTree,1,8,100,14841
kdTree,1,10,100,22700
kdTree,1,16,100,30774
kdTree,1,2,1000,2183
kdTree,1,4,1000,24135
kdTree,1,8,1000,88811
kdTree,1,10,1000,153670
kdTree,1,16,1000,219807
kdTree,1,2,10000,3670
kdTree,1,4,10000,59095
kdTree,1,8,10000,909188
kdTree,1,10,10000,1604669
kdTree,1,16,10000,2354434
kdTree,1,2,100000,5321
kdTree,1,4,100000,138076
kdTree,1,8,100000,3531739
kdTree,1,10,100000,9786839
kdTree,1,16,100000,17562707
kdTree,2,2,100,2522
kdTree,2,4,100,7460
kdTree,2,8,100,14372
kdTree,2,10,100,21987
kdTree,2,16,100,31232
kdTree,2,2,1000,8423
kdTree,2,4,1000,25331
kdTree,2,8,1000,54572
kdTree,2,10,1000,86843
kdTree,2,16,1000,128585
kdTree,2,2,10000,21326
kdTree,2,4,10000,73898
kdTree,2,8,10000,181354
kdTree,2,10,10000,307746
kdTree,2,16,10000,474693
kdTree,2,2,100000,48701
kdTree,2,4,100000,194300
kdTree,2,8,100000,519905
kdTree,2,10,100000,958191
kdTree,2,16,100000,1504131
kdTree,3,2,100,3631
kdTree,3,4,100,9428
kdTree,3,8,100,17888
kdTree,3,10,100,27007
kdTree,3,16,100,38476
kdTree,3,2,1000,11730
kdTree,3,4,1000,30359
kdTree,3,8,1000,58429
kdTree,3,10,1000,92250
kdTree,3,16,1000,389575
kdTree,3,2,10000,46496
kdTree,3,4,10000,99385
kdTree,3,8,10000,186709
kdTree,3,10,10000,285955
kdTree,3,16,10000,416941
kdTree,3,2,100000,82631
kdTree,3,4,100000,215431
kdTree,3,8,100000,439956
kdTree,3,10,100000,705032
kdTree,3,16,100000,1096455
kdTree,4,2,100,5081
kdTree,4,4,100,12839
kdTree,4,8,100,23550
kdTree,4,10,100,35233
kdTree,4,16,100,49838
kdTree,4,2,1000,18354
kdTree,4,4,1000,44258
kdTree,4,8,1000,81183
kdTree,4,10,1000,122343
kdTree,4,16,1000,178402
kdTree,4,2,10000,43196
kdTree,4,4,10000,106460
kdTree,4,8,10000,220063
kdTree,4,10,10000,329545
kdTree,4,16,10000,475759
kdTree,4,2,100000,102487
kdTree,4,4,100000,271391
kdTree,4,8,100000,547179
kdTree,4,10,100000,829213
kdTree,4,16,100000,1218825
kdTree,5,2,100,8170
kdTree,5,4,100,19563
kdTree,5,8,100,34745
kdTree,5,10,100,51700
kdTree,5,16,100,76671
kdTree,5,2,1000,27230
kdTree,5,4,1000,65507
kdTree,5,8,1000,115787
kdTree,5,10,1000,170984
kdTree,5,16,1000,243761
kdTree,5,2,10000,74112
kdTree,5,4,10000,179184
kdTree,5,8,10000,318690
kdTree,5,10,10000,481987
kdTree,5,16,10000,699896
kdTree,5,2,100000,198890
kdTree,5,4,100000,481633
kdTree,5,8,100000,810161
kdTree,5,10,100000,1177457
kdTree,5,16,100000,1656718
kdTree,6,2,100,9886
kdTree,6,4,100,23798
kdTree,6,8,100,41474
kdTree,6,10,100,60028
kdTree,6,16,100,82227
kdTree,6,2,1000,40879
kdTree,6,4,1000,94632
kdTree,6,8,1000,162910
kdTree,6,10,1000,238424
kdTree,6,16,1000,333472
kdTree,6,2,10000,109477
kdTree,6,4,10000,242348
kdTree,6,8,10000,420528
kdTree,6,10,10000,617666
kdTree,6,16,10000,886524
kdTree,6,2,100000,228957
kdTree,6,4,100000,576318
kdTree,6,8,100000,1008956
kdTree,6,10,100000,1774816
kdTree,6,16,100000,2381516
kdTree,7,2,100,11160
kdTree,7,4,100,24658
kdTree,7,8,100,41422
kdTree,7,10,100,59487
kdTree,7,16,100,80998
kdTree,7,2,1000,51642
kdTree,7,4,1000,122342
kdTree,7,8,1000,213476
kdTree,7,10,1000,310393
kdTree,7,16,1000,425097
kdTree,7,2,10000,201161
kdTree,7,4,10000,406121
kdTree,7,8,10000,669455
kdTree,7,10,10000,962909
kdTree,7,16,10000,1311877
kdTree,7,2,100000,355933
kdTree,7,4,100000,873736
kdTree,7,8,100000,1493809
kdTree,7,10,100000,2168526
kdTree,7,16,100000,2996485
