structureName,dimension,k,n,time
quadTree,2,2,100,6995
quadTree,2,4,100,15587
quadTree,2,8,100,25053
quadTree,2,10,100,34904
quadTree,2,16,100,45735
quadTree,2,2,1000,71227
quadTree,2,4,1000,149188
quadTree,2,8,1000,233169
quadTree,2,10,1000,321008
quadTree,2,16,1000,415212
quadTree,2,2,10000,656791
quadTree,2,4,10000,1338451
quadTree,2,8,10000,2058868
quadTree,2,10,10000,2766142
quadTree,2,16,10000,3518036
quadTree,2,2,100000,6947947
quadTree,2,4,100000,13756678
quadTree,2,8,100000,20887718
quadTree,2,10,100000,27614213
quadTree,2,16,100000,34701699
