structureName,dimension,k,n,time
quadTree,2,2,100,8062
quadTree,2,4,100,17832
quadTree,2,8,100,28669
quadTree,2,10,100,39719
quadTree,2,16,100,51093
quadTree,2,2,1000,73794
quadTree,2,4,1000,154507
quadTree,2,8,1000,242393
quadTree,2,10,1000,349240
quadTree,2,16,1000,451184
quadTree,2,2,10000,678638
quadTree,2,4,10000,1380234
quadTree,2,8,10000,2100713
quadTree,2,10,10000,2835900
quadTree,2,16,10000,3595800
quadTree,2,2,100000,6552768
quadTree,2,4,100000,13122653
quadTree,2,8,100000,19923507
quadTree,2,10,100000,26898502
quadTree,2,16,100000,34055858
