structureName,dimension,k,n,time
dumbKNN,1,2,100,12823
dumbKNN,1,4,100,22988
dumbKNN,1,8,100,33533
dumbKNN,1,10,100,44142
dumbKNN,1,16,100,54748
dumbKNN,1,2,1000,46723
dumbKNN,1,4,1000,92484
dumbKNN,1,8,1000,137728
dumbKNN,1,10,1000,186807
dumbKNN,1,16,1000,242409
dumbKNN,1,2,10000,500038
dumbKNN,1,4,10000,904200
dumbKNN,1,8,10000,1328898
dumbKNN,1,10,10000,1753249
dumbKNN,1,16,10000,2199992
dumbKNN,1,2,100000,3926058
dumbKNN,1,4,100000,7905888
dumbKNN,1,8,100000,11927547
dumbKNN,1,10,100000,15920476
dumbKNN,1,16,100000,20224665
dumbKNN,2,2,100,8162
dumbKNN,2,4,100,16293
dumbKNN,2,8,100,25530
dumbKNN,2,10,100,35831
dumbKNN,2,16,100,46745
dumbKNN,2,2,1000,66838
dumbKNN,2,4,1000,134700
dumbKNN,2,8,1000,203804
dumbKNN,2,10,1000,273421
dumbKNN,2,16,1000,353349
dumbKNN,2,2,10000,623772
dumbKNN,2,4,10000,1339381
dumbKNN,2,8,10000,1966563
dumbKNN,2,10,10000,2595549
dumbKNN,2,16,10000,3282569
dumbKNN,2,2,100000,6146637
dumbKNN,2,4,100000,12284057
dumbKNN,2,8,100000,18430604
dumbKNN,2,10,100000,24602629
dumbKNN,2,16,100000,31181772
dumbKNN,3,2,100,9906
dumbKNN,3,4,100,20271
dumbKNN,3,8,100,31898
dumbKNN,3,10,100,44785
dumbKNN,3,16,100,59735
dumbKNN,3,2,1000,85610
dumbKNN,3,4,1000,171443
dumbKNN,3,8,1000,258430
dumbKNN,3,10,1000,351590
dumbKNN,3,16,1000,451712
dumbKNN,3,2,10000,804365
dumbKNN,3,4,10000,1615777
dumbKNN,3,8,10000,2428088
dumbKNN,3,10,10000,3236391
dumbKNN,3,16,10000,4113203
dumbKNN,3,2,100000,7938664
dumbKNN,3,4,100000,15831560
dumbKNN,3,8,100000,23746085
dumbKNN,3,10,100000,31649638
dumbKNN,3,16,100000,40157729
dumbKNN,4,2,100,12638
dumbKNN,4,4,100,25873
dumbKNN,4,8,100,40909
dumbKNN,4,10,100,56105
dumbKNN,4,16,100,73668
dumbKNN,4,2,1000,108435
